time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-29T07:20:55.313Z,59.5331,-154.904,10.2,3,ml,,,,0.78,ak,ak024cjm06lx,2024-09-30T01:43:50.035Z,"12 km NW of Kokhanok, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2024-09-29T07:05:47.171Z,6.7894,-73.1424,156.292,4.7,mb,50,43,0.893,0.76,us,us7000nh2v,2024-09-29T07:24:01.040Z,"8 km NW of Jordán, Colombia",earthquake,8.87,6.236,0.028,397,reviewed,us,us
2024-09-29T06:53:34.095Z,10.5372,124.3913,10,5.1,mww,60,55,3.64,1.06,us,us7000nh2p,2024-09-30T13:25:11.509Z,"10 km S of Poro, Philippines",earthquake,9.89,1.876,0.075,17,reviewed,us,us
2024-09-29T06:27:55.356Z,-4.1149,129.8534,31.342,4.7,mb,39,86,0.408,0.37,us,us7000nh2n,2024-09-29T06:59:47.040Z,"133 km SE of Masohi, Indonesia",earthquake,7.74,5.643,0.092,36,reviewed,us,us
2024-09-29T05:18:46.337Z,79.9698,136.8281,10,4.6,mb,75,94,8.592,0.82,us,us7000nh2f,2024-09-29T05:53:59.040Z,"north of the New Siberian Islands",earthquake,9.57,1.917,0.048,132,reviewed,us,us
2024-09-29T04:25:22.806Z,34.0907,70.953,49.326,4.5,mb,34,170,4.821,0.94,us,us7000nh29,2024-09-29T04:44:41.040Z,"17 km W of Landi Kotal, Pakistan",earthquake,12.19,9.697,0.094,33,reviewed,us,us
2024-09-29T03:32:27.161Z,44.3121,-115.1621,12.486,2.7,ml,17,64,0.306,0.32,us,us7000nh25,2024-09-30T15:25:24.220Z,"20 km WNW of Stanley, Idaho",earthquake,1.62,7.958,0.041,80,reviewed,us,us
2024-09-29T03:00:01.090Z,18.8474998474121,-155.171661376953,9.05000019073486,2.79,ml,44,268,0.4115,0.180000007,hv,hv74481442,2024-09-29T03:08:32.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.58,0.519999981,0.5,31,automatic,hv,hv
2024-09-29T01:46:35.148Z,-21.2604,-70.2415,62.86,4.5,mb,38,139,0.445,0.67,us,us7000nh1r,2024-09-30T00:17:55.312Z,"92 km N of Tocopilla, Chile",earthquake,5.78,5.639,0.076,51,reviewed,us,us
2024-09-28T23:11:47.180Z,34.0611667,-117.5373333,14.57,3.08,ml,161,14,0.05992,0.22,ci,ci40747903,2024-10-01T02:39:07.292Z,"7 km NW of Glen Avon, CA",earthquake,0.12,0.22,0.16,257,reviewed,ci,ci
2024-09-28T22:12:29.480Z,18.1656666666667,-66.9935,16.95,2.7,md,30,37,0.08024,0.18,pr,pr71461293,2024-09-28T23:24:38.040Z,"2 km SW of Maricao, Puerto Rico",earthquake,0.23,0.52,0.0616052260746778,13,reviewed,pr,pr
2024-09-28T21:38:18.290Z,33.9678333,-118.9011667,13.76,3.08,ml,97,161,0.08645,0.26,ci,ci40747871,2024-09-29T23:51:52.646Z,"9 km WSW of Malibu, CA",earthquake,0.29,0.42,0.136,195,reviewed,ci,ci
2024-09-28T20:59:06.800Z,35.5173333,-118.3778333,4.53,2.5,ml,64,32,0.165,0.17,ci,ci40747863,2024-09-30T16:12:52.683Z,"13 km SE of Bodfish, CA",earthquake,0.14,0.64,0.16,98,reviewed,ci,ci
